Identifier,Gender,1a_grit_localtravel,1b_grit_localtravel,2a_grit_errands,2b_grit_errands,3a_grit_publicspeaking,3b_grit_publicspeaking,4a_grit_discussion,4b_grit_discussion,5a_grit_persevered,5b_grit_persevered,6a_tnt_extraleadership,6b_tnt_extraleadership,7a_tnt_newskill,7b_tnt_newskill,8a_tnt_helpingothers,8b_tnt_helpingothers,9a_tnt_risktaking,9b_tnt_risktaking,10a_tnt_project,10a_tnt_project_example,10b_tnt_project,11a_sa_feedback,11b_sa_feedback,12a_sa_helpseeking,12b_sa_helpseeking,13a_sa_values,13b_sa_values,14a_sa_emotions,14b_sa_emotions,15a_sa_influence,15b_sa_influence,16a_ind_doingthingsalone,16b_sa_doingthingsalone,17a_ind_againstnorm,17b_ind_againstnorm,18a_ind_reflection,18b_ind_reflection,19a_ind_questioning,19b_ind_questioning,20a_ind_informeddecision,20b_ind_informeddecision
681,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
682,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
683,Female,(d)no,(d)Was not allowed (by family / caregiver / teacher),"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",
684,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Handy cooler,,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",
685,Female,(d)no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Beauty,,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",
686,Female,(d)no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",
687,Female,(d)no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
688,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,(a) yes,Best of waste material,,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity"
689,Female,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Best out of waste,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",
690,Female,(d)no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",
691,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",
692,Female,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
693,Female,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",
694,Male,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity",(d) no,(b)Did not want to,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",
695,Female,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",
696,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",
697,Female,(d)no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(c)yes, once or twice",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
698,Male,(d)no,(a)Did not need to,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(b)Did not want to,"(a)yes, many times",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",
699,Male,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",
700,Female,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,(a) yes,One very crude form of for table projector is the over hand projector a type of projection system which is often used in schools,,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",
701,Male,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,(b)Did not want to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",
702,Female,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",
703,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity"
704,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
705,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",
706,Female,(d)no,(a)Did not need to,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,(b)no,,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(b)yes, sometimes",
707,Male,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Flower pots with the help of waste material,,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",
708,Male,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",
709,Female,(d)no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,(b)no,,(b)Did not want to,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
710,Male,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,(b)no,,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",
711,Female,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",
712,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",
713,Male,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",
714,Female,(d)no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",
715,Male,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",
716,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",
717,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(b)no,,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",
718,Female,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Plastic bags,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
